algorithm,instance,seed,log_path,final_best_from_log,final_best_contributor_destroy,final_best_contributor_repair,n_iterations_in_log
ALNS-B,Example6,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/06_Example6_seed1.log,4.0,destroy_exploration,repair_exploration,121
ALNS-B,Example6,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/06_Example6_seed2.log,1.0,destroy_exploration,repair_exploration,122
ALNS-B,Example7,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/07_Example7_seed0.log,83.0,destroy_max_border_off,repair_gecode_long,22
ALNS-B,Example7,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/07_Example7_seed1.log,202.0,destroy_max_border_off,repair_gecode_fast,36
ALNS-B,Example7,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/07_Example7_seed2.log,86.0,destroy_max_border_off,repair_chuffed_long,24
ALNS-B,Example8,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/08_Example8_seed0.log,2.0,destroy_worst_workers_10pct,repair_chuffed_long,68
ALNS-B,Example8,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/08_Example8_seed1.log,7.0,destroy_worst_days_10pct,repair_chuffed_long,33
ALNS-B,Example8,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/08_Example8_seed2.log,10.0,destroy_worst_workers_10pct,repair_chuffed_long,28
ALNS-B,Example9,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/09_Example9_seed0.log,156.0,destroy_max_border_off,repair_chuffed_fast,20
ALNS-B,Example9,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/09_Example9_seed1.log,119.0,destroy_exploration,repair_exploration,19
ALNS-B,Example9,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/09_Example9_seed2.log,106.0,destroy_all_forbidden_sequences,repair_gecode_fast,15
